"officename,pincode,Taluk,Districtname,statename","officename,pincode,Taluk,Districtname,statename",Not Found,Not Found
"Achalapur B.O,504273,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Ada B.O,504293,Asifabad,Adilabad,TELANGANA","Adilabad-Asifabad Rd, Ada, Telangana 504293, India",19.4049589,79.2445001
"Adegaon B.O,504307,Boath,Adilabad,TELANGANA","Boath Buzurg, Telangana 504304, India",19.3399205,78.3216329
"Adilabad Collectorate S.O,504001,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Adilabad H.O,504001,Adilabad,Adilabad,TELANGANA","Adilabad Railway Station, Tatiguda Colony, Adilabad, Telangana 504001, India",19.6806051,78.53624
"Agm Colony S.O,504251,Bellampalle,Adilabad,TELANGANA","Bellampalli, Telangana 504251, India",19.0715572,79.4911758
"Ainam B.O,504273,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Aknepalli B.O,504251,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Akoli B.O,504309,Adilabad,Adilabad,TELANGANA","Akoli Rd, Telangana 504309, India",19.7752387,78.5419474
"Alegaon B.O,504201,Chennur,Adilabad,TELANGANA","Chinnur, Telangana 504201, India",18.8540596,79.7910165
"Aloor B.O,504110,Nirmal,Adilabad,TELANGANA","Nirmal, Telangana 504106, India",19.0964117,78.342975
"Ambaripet B.O,504202,Khanapur,Adilabad,TELANGANA","Khanapur, Telangana 504203, India",19.0413819,78.6483843
"Andavelli B.O,504296,Sirpur (t),Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Andugulpet B.O,504231,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Andukur B.O,504109,Nirmal,Adilabad,TELANGANA","Nirmal, Telangana 504106, India",19.0964117,78.342975
"Angarajpally B.O,504201,Chennur,Adilabad,TELANGANA","Chinnur, Telangana 504201, India",18.8540596,79.7910165
"Ankhoda B.O,504299,Kagaznagar,Adilabad,TELANGANA","Sirpur-Kaghaznagar, Telangana 504296, India",19.3581456,79.4823339
"Ankoli B.O,504002,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Annaram B.O,504201,Chennur,Adilabad,TELANGANA","Chinnur, Telangana 504201, India",18.8540596,79.7910165
"Arepally B.O,504204,Chennur,Adilabad,TELANGANA","Chinnur, Telangana 504201, India",18.8540596,79.7910165
"Arli (T) B.O,504312,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Ashepally B.O,504313,Utnoor,Adilabad,TELANGANA","Utnoor, Telangana 504311, India",19.3718044,78.7787889
"Ashta B.O,504101,Mudhole,Adilabad,TELANGANA","Mudhole, Maharashtra 504102, India",18.9224768,77.8638835
"Asifabad S.O,504293,Asifabad,Adilabad,TELANGANA","Adilabad-Asifabad Rd, Telangana, India",19.4049589,79.2445001
"Asnad B.O,504201,Chennur,Adilabad,TELANGANA","Chinnur, Telangana 504201, India",18.8540596,79.7910165
"Awadam B.O,504204,Chennur,Adilabad,TELANGANA","Chinnur, Telangana 504201, India",18.8540596,79.7910165
"Babapur B.O,504293,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Babasagar B.O,504299,Sirpur(t),Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Badampally B.O,504205,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Badankurthy B.O,504203,NA,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Bambara B.O,504295,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Bangalpet B.O,504106,Nirmal,Adilabad,TELANGANA","Bangalpet Road, Somwarpet, Nirmal, Telangana 504106, India",19.1082559,78.3480549
"Bansapalli B.O,504306,Nirmal,Adilabad,TELANGANA","Nirmal, Telangana 504106, India",19.0964117,78.342975
"Bapur B.O,504299,Sirpur (t),Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Bareguda B.O,504296,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Basar S.O (Adilabad),504101,Mudhole,Adilabad,TELANGANA","Mudhole, Maharashtra 504102, India",18.9224768,77.8638835
"Bazar Hathnur B.O,504304,Boath,Adilabad,TELANGANA","Boath Buzurg, Telangana 504304, India",19.3399205,78.3216329
"Beernandi B.O,504203,NA,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Bejjur B.O,504299,Sirpur (t),Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Bela B.O,504309,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Bellalbadi B.O,504202,Khanapur,Adilabad,TELANGANA","Khanapur, Telangana 504203, India",19.0413819,78.6483843
"Bellampalli R.S. S.O,504251,Bellampalle,Adilabad,TELANGANA","Bellampalli, Telangana 504251, India",19.0525134,79.4858903
"Bellampalli S.O,504251,Bellampalle,Adilabad,TELANGANA","Bellampalli, Telangana 504251, India",19.0525134,79.4858903
"Beltharoda B.O,504103,Mudhole,Adilabad,TELANGANA","Mudhole, Maharashtra 504102, India",18.9224768,77.8638835
"Bhagyanagar S.O (Adilabad),504001,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Bhainsa S.O (Adilabad),504103,Mudhole,Adilabad,TELANGANA","Mudhole, Maharashtra 504102, India",18.9224768,77.8638835
"Bharampur B.O,504308,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Bheemaram S.O,504204,Chennur,Adilabad,TELANGANA","Chinnur, Telangana 504201, India",18.8540596,79.7910165
"Bheempur B.O,504311,Utnoor,Adilabad,TELANGANA","Utnoor, Telangana 504311, India",19.3718044,78.7787889
"Bheemsari B.O,504002,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Bhimini B.O,504273,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Bholsa B.O,504103,Mudhole,Adilabad,TELANGANA","Mudhole, Maharashtra 504102, India",18.9224768,77.8638835
"Bhosi B.O,504103,Mudhole,Adilabad,TELANGANA","Mudhole, Maharashtra 504102, India",18.9224768,77.8638835
"Bhuktapur S.O,504001,Adilabad,Adilabad,TELANGANA","Bhuktapur, Adilabad, Telangana 504001, India",19.6735452,78.5313007
"Bhutai B.O,504304,Boath,Adilabad,TELANGANA","Boath Buzurg, Telangana 504304, India",19.3399205,78.3216329
"Bibra B.O,504273,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Bidrelli B.O,504101,Mudhole,Adilabad,TELANGANA","Mudhole, Maharashtra 504102, India",18.9224768,77.8638835
"Birsaipet B.O,504311,Utnoor,Adilabad,TELANGANA","Utnur Rd, Birsaipet, Telangana 504311, India",19.2878071,78.8136643
"Birvelli B.O,504306,Nirmal,Adilabad,TELANGANA","Nirmal, Telangana 504106, India",19.0964117,78.342975
"Boath S.O,504304,Boath,Adilabad,TELANGANA","Boath Project, Telangana 504304",19.3521666,78.2846303
"Bodepalli B.O,504273,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Boregaon B.O,504101,Mudhole,Adilabad,TELANGANA","Mudhole, Maharashtra 504102, India",18.9224768,77.8638835
"Boregaon B.O,504307,Boath,Adilabad,TELANGANA","Boath Buzurg, Telangana 504304, India",19.3399205,78.3216329
"Borigaon B.O,504110,Nirmal,Adilabad,TELANGANA","Nirmal, Telangana 504106, India",19.0964117,78.342975
"Boyapalli B.O,504272,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Brahmangaon B.O,504101,Mudhole,Adilabad,TELANGANA","Mudhole, Maharashtra 504102, India",18.9224768,77.8638835
"Budakalan B.O,504251,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Budakurd B.O,504251,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Buggaram B.O,504323,Neradigonda,Adilabad,TELANGANA","Neredgonda, Telangana 504323, India",19.2999254,78.4055514
"Burguda B.O,504293,Asifabad,Adilabad,TELANGANA","Asifabad, Telangana 504293, India",19.361899,79.2930312
"Chakepalli B.O,504272,Asifabad,Adilabad,TELANGANA","Adilabad-Asifabad Rd, Chityal, Telangana 504313, India",19.3814841,78.8855362
"Chanda (T) B.O,504002,Adilabad,Adilabad,TELANGANA","Adilabad, Telangana 504001, India",19.6640624,78.5320107
"Chandaram B.O,504215,Luxettipet,Adilabad,TELANGANA","Luxettipet, Telangana, India",18.8754757,79.2028155
"Chandur B.O,504311,Utnoor,Adilabad,TELANGANA","Utnoor, Telangana 504311, India",19.3718044,78.7787889
